,eps,min_samples,n_images,tp,fp
0,8,10,101,69,33
1,8,12,101,67,35
2,8,14,101,62,40
3,8,16,101,55,47
4,8,18,101,40,62
5,8,20,101,31,71
6,10,10,101,76,26
7,10,12,101,74,28
8,10,14,101,72,30
9,10,16,101,73,29
10,10,18,101,61,41
11,10,20,101,52,50
12,12,10,101,74,28
13,12,12,101,78,24
14,12,14,101,79,23
15,12,16,101,79,23
16,12,18,101,77,25
17,12,20,101,68,34
18,14,10,101,65,37
19,14,12,101,71,31
20,14,14,101,75,27
21,14,16,101,76,26
22,14,18,101,79,23
23,14,20,101,75,27
24,16,10,101,61,41
25,16,12,101,70,32
26,16,14,101,72,30
27,16,16,101,74,28
28,16,18,101,76,26
29,16,20,101,76,26
30,18,10,101,73,29
31,18,12,101,72,30
32,18,14,101,72,30
33,18,16,101,72,30
34,18,18,101,76,26
35,18,20,101,75,27
36,20,10,101,68,34
37,20,12,101,71,31
38,20,14,101,71,31
39,20,16,101,74,28
40,20,18,101,76,26
41,20,20,101,77,25
