,found_true_positive
img_145.png,True
img_131.png,True
img_115.png,True
img_10.png,False
img_143.png,True
img_12.png,True
img_138.png,True
img_134.png,True
img_112.png,True
img_11.png,True
img_142.png,True
img_127.png,False
img_124.png,False
img_140.png,True
img_132.png,True
img_13.png,True
img_141.png,True
img_135.png,True
img_14.png,True
img_133.png,True
img_129.png,True
img_113.png,True
img_126.png,False
img_119.png,False
img_125.png,False
img_128.png,False
img_130.png,True
img_110.png,False
img_137.png,True
img_114.png,True
img_116.png,False
img_111.png,True
img_144.png,True
img_136.png,True
img_117.png,False
img_139.png,True
